"Facility ID","Facility Name",Address,City/Town,State,"ZIP Code",County/Parish,"Telephone Number","Hospital Type","Hospital Ownership","Emergency Services","Meets criteria for promoting interoperability of EHRs","Meets criteria for birthing friendly designation","Hospital overall rating","Hospital overall rating footnote","MORT Group Measure Count","Count of Facility MORT Measures","Count of MORT Measures Better","Count of MORT Measures No Different","Count of MORT Measures Worse","MORT Group Footnote","Safety Group Measure Count","Count of Facility Safety Measures","Count of Safety Measures Better","Count of Safety Measures No Different","Count of Safety Measures Worse","Safety Group Footnote","READM Group Measure Count","Count of Facility READM Measures","Count of READM Measures Better","Count of READM Measures No Different","Count of READM Measures Worse","READM Group Footnote","Pt Exp Group Measure Count","Count of Facility Pt Exp Measures","Pt Exp Group Footnote","TE Group Measure Count","Count of Facility TE Measures","TE Group Footnote"
420002,"PIEDMONT MEDICAL CENTER","1731 FRANK GASTON BLVD","ROCK HILL",SC,29732,YORK,"(803) 329-1234","Acute Care Hospitals",Proprietary,Yes,Y,Y,2,,7,7,0,6,1,,8,7,1,6,0,,11,9,0,9,0,,8,8,,12,10,
420004,"MUSC MEDICAL CENTER","169 ASHLEY AVE",CHARLESTON,SC,29425,CHARLESTON,"(843) 792-2300","Acute Care Hospitals","Government - Hospital District or Authority",Yes,Y,Y,3,,7,7,0,7,0,,8,8,2,5,1,,11,11,0,8,3,,8,8,,12,10,
420005,"MCLEOD MEDICAL CENTER - DILLON","301 E JACKSON STREET PO BOX 1327",DILLON,SC,29536,DILLON,"(843) 774-4111","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,4,,7,4,0,4,0,,8,3,0,3,0,,11,5,0,5,0,,8,8,,12,9,
420007,"SPARTANBURG MEDICAL CENTER","101 E WOOD ST",SPARTANBURG,SC,29303,SPARTANBURG,"(864) 560-6554","Acute Care Hospitals","Government - Hospital District or Authority",Yes,Y,Y,2,,7,7,0,3,4,,8,8,2,4,2,,11,11,0,10,1,,8,8,,12,11,
420009,"PRISMA HEALTH OCONEE MEMORIAL HOSPITAL","298 MEMORIAL DR",SENECA,SC,29672,OCONEE,"(864) 482-3100","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,2,,7,5,0,5,0,,8,7,1,6,0,,11,8,0,6,2,,8,8,,12,12,
420010,"CAROLINA PINES REGIONAL MEDICAL CENTER","1304 W BOBO NEWSOM HWY",HARTSVILLE,SC,29550,DARLINGTON,"(864) 339-2100","Acute Care Hospitals",Proprietary,Yes,Y,Y,3,,7,5,0,5,0,,8,2,0,2,0,,11,7,1,5,1,,8,8,,12,11,
420011,"CANNON MEMORIAL HOSPITAL","123 W G ACKER DRIVE",PICKENS,SC,29671,PICKENS,"(864) 878-4791","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,,"Not Available",16,7,1,0,1,0,,8,1,0,1,0,,11,4,1,3,0,,8,"Not Available",5,12,7,
420015,"PRISMA HEALTH BAPTIST EASLEY HOSPITAL","200 FLEETWOOD DRIVE",EASLEY,SC,29640,PICKENS,"(864) 442-7606","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,,3,,7,4,0,4,0,,8,6,1,5,0,,11,6,0,6,0,,8,8,,12,10,
420018,"PRISMA HEALTH RICHLAND HOSPITAL","5 MEDICAL PARK",COLUMBIA,SC,29203,RICHLAND,"(803) 296-2548","Acute Care Hospitals",Proprietary,Yes,Y,Y,3,,7,7,1,6,0,,8,8,1,6,1,,11,9,0,7,2,,8,8,,12,10,
420019,"MUSC HEALTH CHESTER MEDICAL CENTER","1 MEDICAL PARK DRIVE",CHESTER,SC,29706,CHESTER,"(803) 581-3151","Acute Care Hospitals",Proprietary,Yes,Y,,"Not Available",16,7,2,0,2,0,,8,1,0,1,0,,11,5,0,5,0,,8,"Not Available",5,12,7,
420020,"TIDELANDS GEORGETOWN MEMORIAL HOSPITAL","606 BLACK RIVER RD DRAWER 1718",GEORGETOWN,SC,29440,GEORGETOWN,"(843) 527-7000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,,2,,7,5,0,5,0,,8,4,0,4,0,,11,9,0,8,1,,8,8,,12,9,
420023,"ST FRANCIS-DOWNTOWN","ONE ST FRANCIS DR",GREENVILLE,SC,29601,GREENVILLE,"(800) 805-5678","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,2,,7,7,0,6,1,,8,8,2,4,2,,11,11,0,10,1,,8,8,,12,11,
420026,"MUSC HEALTH COLUMBIA MEDICAL CENTER DOWNTOWN","2435 FOREST DRIVE",COLUMBIA,SC,29204,RICHLAND,"(803) 256-5300","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,,4,,7,7,0,7,0,,8,7,1,6,0,,11,9,0,8,1,,8,8,,12,9,
420027,"ANMED HEALTH","800 N FANT ST",ANDERSON,SC,29621,ANDERSON,"(864) 512-2830","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,2,,7,7,0,7,0,,8,8,2,6,0,,11,11,0,10,1,,8,8,,12,11,
420030,"COLLETON MEDICAL CENTER","501 ROBERTSON BOULEVARD",WALTERBORO,SC,29488,COLLETON,"(843) 782-2000","Acute Care Hospitals",Proprietary,Yes,Y,Y,2,,7,4,0,4,0,,8,4,0,3,1,,11,7,0,7,0,,8,8,,12,10,
420033,"PRISMA HEALTH GREER MEMORIAL HOSPITAL","1413 JOHN B WHITE SR BLVD SUITE D",SPARTANBURG,SC,29306,SPARTANBURG,"(864) 848-8200","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,2,,7,4,0,4,0,,8,5,1,3,1,,11,6,0,6,0,,8,8,,12,11,
420036,"MUSC HEALTH LANCASTER MEDICAL CENTER","800 W MEETING ST",LANCASTER,SC,29720,LANCASTER,"(803) 286-1481","Acute Care Hospitals",Proprietary,Yes,Y,Y,3,,7,5,0,5,0,,8,5,1,4,0,,11,7,0,6,1,,8,8,,12,8,
420037,"PRISMA HEALTH HILLCREST HOSPITAL","741 SOUTH EAST MAIN STREET",SIMPSONVILLE,SC,29681,GREENVILLE,"(864) 454-6100","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,,4,,7,3,0,3,0,,8,3,1,2,0,,11,6,0,6,0,,8,8,,12,9,
420038,"PRISMA HEALTH LAURENS COUNTY HOSPITAL","22725 HIGHWAY 76 EAST",CLINTON,SC,29325,LAURENS,"(864) 833-9100","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,2,,7,4,0,4,0,,8,2,0,2,0,,11,5,0,4,1,,8,8,,12,8,
420043,"CHEROKEE MEDICAL CENTER","1530 N LIMESTONE ST",GAFFNEY,SC,29340,CHEROKEE,"(864) 487-4271","Acute Care Hospitals","Government - Hospital District or Authority",Yes,Y,,3,,7,3,0,3,0,,8,2,0,2,0,,11,5,0,5,0,,8,"Not Available",5,12,8,
420048,KERSHAWHEALTH,"1315 ROBERTS STREET",CAMDEN,SC,29020,KERSHAW,"(803) 432-4311","Acute Care Hospitals",Proprietary,Yes,Y,Y,3,,7,5,0,5,0,,8,5,0,5,0,,11,9,0,9,0,,8,8,,12,10,
420049,"CONWAY MEDICAL CENTER","300 SINGLETON RIDGE ROAD",CONWAY,SC,29526,HORRY,"(843) 347-8037","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,4,,7,5,0,5,0,,8,8,2,6,0,,11,10,0,10,0,,8,8,,12,10,
420051,"MCLEOD REGIONAL MEDICAL CENTER-PEE DEE","555 E CHEVES ST BOX 8700",FLORENCE,SC,29506,FLORENCE,"(843) 777-2900","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,3,,7,7,0,5,2,,8,7,1,5,1,,11,11,3,6,2,,8,8,,12,11,
420053,"NEWBERRY COUNTY MEMORIAL HOSPITAL","2669 KINARD ST PO BOX 497",NEWBERRY,SC,29108,NEWBERRY,"(803) 405-7145","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,Y,4,,7,3,0,3,0,,8,4,0,4,0,,11,9,0,9,0,,8,8,,12,9,
420055,"MUSC HEALTH MARION MEDICAL CENTER","2829 E HWY 76",MULLINS,SC,29574,MARION,"(843) 431-2000","Acute Care Hospitals","Government - State",Yes,Y,,2,,7,5,0,5,0,,8,2,0,2,0,,11,6,0,4,2,,8,8,,12,9,
420065,"BON SECOURS-ST FRANCIS XAVIER HOSPITAL","2095 HENRY TECKLENBURG DRIVE",CHARLESTON,SC,29414,CHARLESTON,"(843) 402-1006","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,5,,7,4,0,4,0,,8,7,0,6,1,,11,8,0,7,1,,8,8,,12,11,
420067,"BEAUFORT COUNTY MEMORIAL HOSPITAL","955 RIBAUT RD",BEAUFORT,SC,29902,BEAUFORT,"(843) 522-5200","Acute Care Hospitals","Government - Local",Yes,Y,Y,3,,7,6,0,6,0,,8,7,1,4,2,,11,10,1,9,0,,8,8,,12,11,
420070,"PRISMA HEALTH TUOMEY HOSPITAL","129 N WASHINGTON ST",SUMTER,SC,29150,SUMTER,"(803) 296-2548","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,1,,7,5,0,4,1,,8,8,1,6,1,,11,8,0,6,2,,8,8,,12,12,
420071,"SELF REGIONAL HEALTHCARE","1325 SPRING STREET",GREENWOOD,SC,29646,GREENWOOD,"(864) 227-4111","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,3,,7,7,0,4,3,,8,8,1,7,0,,11,10,1,9,0,,8,8,,12,10,
