data_source,key_id,name_full,org_pac_id,num_org_mem,pri_spec,sec_spec_all,adr_ln_1,adr_ln_2,City/Town,State,ZIP Code,Telephone Number,Cleaned Address,Latitude,Longitude
clinician_network,42206807.0,SIDNEY P SMITH MD PC,42206807.0,16.0,NURSE PRACTITIONER,,710 HOPEWELL DR,SUITE 108,CHARLESTON,SC,294927108,8005990067.0,710 HOPEWELL DR,39.231301851378475,-75.72057382547553
clinician_network,42389231.0,SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,42389231.0,36.0,DIAGNOSTIC RADIOLOGY,,30 LOWNDES POINTE DR,,CHARLESTON,SC,294033260,9122250934.0,30 LOWNDES POINTE DR,32.8126109,-79.9619459
clinician_network,42448169.0,UWH OF THE CAROLINAS PLLC,42448169.0,291.0,OBSTETRICS/GYNECOLOGY,,1027 PHYSICIANS DR,SUITE 110,CHARLESTON,SC,294145351,8437406700.0,1027 PHYSICIANS DR,33.571476,-81.761061
clinician_network,42448748.0,ARCIS HEALTHCARE LLC,42448748.0,30.0,ORTHOPEDIC SURGERY,SPORTS MEDICINE,1951 CLEMENTS FERRY RD,SUITE 100,CHARLESTON,SC,294928325,8437975050.0,1951 CLEMENTS FERRY RD,32.915668,-79.885178
clinician_network,42550386.0,PREMIER MEDICAL OF SC LLC,42550386.0,7.0,PHYSICIAN ASSISTANT,,354 FOLLY RD,SUITE 5,CHARLESTON,SC,294122594,8432252374.0,354 FOLLY RD,35.88141351148883,-76.66489934272242
clinician_network,244269413.0,INTENSIVE CARE CONSORTIUM INC,244269413.0,375.0,CRITICAL CARE (INTENSIVISTS),EMERGENCY MEDICINE,9330 MEDICAL PLAZA DR,,CHARLESTON,SC,294069104,8438474559.0,9330 MEDICAL PLAZA DR,32.9768967,-80.0737924
clinician_network,648513457.0,JOINT EFFORT MOVEMENT CENTER,648513457.0,2.0,PHYSICAL THERAPY,,1019 PHYSICIANS DR,,CHARLESTON,SC,294145746,8437904515.0,1019 PHYSICIANS DR,33.571476,-81.761061
clinician_network,749225324.0,"PROGRESSIVE PHYSICAL THERAPY, PA",749225324.0,29.0,PHYSICAL THERAPY,,3424 SHELBY RAY CT,,CHARLESTON,SC,294145838,8434027765.0,3424 SHELBY RAY CT,32.82003851938607,-80.0660334978704
clinician_network,749458420.0,THRIVE COUNSELING LLC,749458420.0,770.0,CLINICAL SOCIAL WORKER,,215 E BAY ST,SUITE 404,CHARLESTON,SC,294012637,8434804034.0,215 E BAY ST,33.91750511002414,-78.01731660832323
clinician_network,840388930.0,BARRIER ISLANDS PSYCHIATRY PA,840388930.0,4.0,PHYSICIAN ASSISTANT,PSYCHIATRY,1620 ASHLEY RIVER RD,,CHARLESTON,SC,294075983,8435568177.0,1620 ASHLEY RIVER RD,32.3979176,-93.708886
clinician_network,840466017.0,LIBERTY DOCTORS LLC,840466017.0,42.0,NURSE PRACTITIONER,HOSPICE/PALLIATIVE CARE,418 FOLLY RD,AB,CHARLESTON,SC,294122625,8432258320.0,418 FOLLY RD,35.88221579054723,-76.66490353324181
clinician_network,1052339132.0,"LOWCOUNTRY RADIATION ONCOLOGY, PA",1052339132.0,5.0,RADIATION ONCOLOGY,,316 CALHOUN ST,,CHARLESTON,SC,294011113,8437242140.0,316 CALHOUN ST,32.78266495,-79.94908809987882
clinician_network,1254654809.0,IMAGING PARTNERS PLLC,1254654809.0,8.0,DIAGNOSTIC RADIOLOGY,,4 CARRIAGE LN,SUITE 108,CHARLESTON,SC,294076048,8284303511.0,4 CARRIAGE LN,42.042139899999995,-70.74815774971893
clinician_network,1355498338.0,"ISLAND P.T.,LLC",1355498338.0,3.0,PHYSICAL THERAPY,,1245 SAVANNAH HWY,,CHARLESTON,SC,294077826,8437665595.0,1245 SAVANNAH HWY,32.734337777777775,-81.62086766666667
clinician_network,1557268950.0,MEDICAL UNIVERSITY HOSPITAL AUTHORITY,1557268950.0,173.0,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),,171 ASHLEY AVE,,CHARLESTON,SC,294258908,8437921414.0,171 ASHLEY AVE,32.785544099999996,-79.95170814565597
clinician_network,1557523917.0,REMEDY INTERNAL MEDICINE AND WELLNESS CENTER P A,1557523917.0,2.0,INTERNAL MEDICINE,PEDIATRIC MEDICINE,109 WAPPOO CREEK DR,2A,CHARLESTON,SC,294122138,8437375206.0,109 WAPPOO CREEK DR,32.76330056742883,-79.97638926971531
clinician_network,1658381819.0,CHARLESTON NEUROSCIENCES INSTITUTE,1658381819.0,6.0,OPHTHALMOLOGY,,3531 MARY ADER AVE,SUITE D,CHARLESTON,SC,294145896,8437634466.0,3531 MARY ADER AVE,32.820726300000004,-80.06514055433334
clinician_network,1658540505.0,TRI-COUNTY SURGICAL SPECIALISTS LLC,1658540505.0,30.0,PHYSICIAN ASSISTANT,CRITICAL CARE (INTENSIVISTS),9330 MEDICAL PLAZA DR,,CHARLESTON,SC,294069104,8438474000.0,9330 MEDICAL PLAZA DR,32.9768967,-80.0737924
clinician_network,1759373079.0,CHARLESTON PULMONARY ASSOCIATES PA,1759373079.0,10.0,PULMONARY DISEASE,CRITICAL CARE (INTENSIVISTS),316 CALHOUN ST,,CHARLESTON,SC,294011113,8437242000.0,316 CALHOUN ST,32.78266495,-79.94908809987882
clinician_network,1850714379.0,BERKELEY REHABILITATION LLC,1850714379.0,5.0,PHYSICAL THERAPY,,1954 ASHLEY RIVER RD,SUITE E,CHARLESTON,SC,294074904,8437611480.0,1954 ASHLEY RIVER RD,34.9611989,-80.7373116
clinician_network,2062462898.0,"CAROLINA DERMATOLOGY CLINIC, PA",2062462898.0,3.0,PHYSICIAN ASSISTANT,,933 SAINT ANDREWS BLVD,,CHARLESTON,SC,294077138,8437669868.0,933 SAINT ANDREWS BLVD,32.792347076629014,-79.98926370919635
clinician_network,2264420215.0,X-RAY PHYSICIANS OF SHELBYVILLE PC,2264420215.0,46.0,DIAGNOSTIC RADIOLOGY,,2275 PORTSIDE WAY,,CHARLESTON,SC,294079657,8669420799.0,2275 PORTSIDE WAY,32.825527,-80.02557
clinician_network,2264847128.0,REGIONAL IMAGING ENM LLC,2264847128.0,10.0,DIAGNOSTIC RADIOLOGY,,484 KING ST,SUITE 205,CHARLESTON,SC,294036229,8666114279.0,484 KING ST,44.9912211,-64.1319206
clinician_network,2365403698.0,MEDICAL UNIVERSITY OF SOUTH CAROLINA,2365403698.0,6.0,ORAL SURGERY,PATHOLOGY,171 ASHLEY AVE,,CHARLESTON,SC,294258908,8437924185.0,171 ASHLEY AVE,32.785544099999996,-79.95170814565597
clinician_network,2466503883.0,"RHEUMATOLOGY ASSOCIATES, P.A.",2466503883.0,5.0,RHEUMATOLOGY,,14 FARMFIELD AVE,SUITE E,CHARLESTON,SC,294077757,8435716067.0,14 FARMFIELD AVE,32.77590209574582,-79.99328040658183
clinician_network,2466723028.0,"PPCP SPECIALTY PHYSICIANS , LLC",2466723028.0,18.0,NEUROLOGY,,9313 MEDICAL PLAZA DR,SUITE 310,CHARLESTON,SC,294069197,8436956071.0,9313 MEDICAL PLAZA DR,32.97435035419094,-80.07396399238011
clinician_network,2466781547.0,EYE ASSOCIATES OF CHARLESTON INC,2466781547.0,4.0,OPTOMETRY,,2070 SAM RITTENBERG BLVD,SUITE 412,CHARLESTON,SC,294074605,8435568844.0,2070 SAM RITTENBERG BLVD,32.7988135,-80.0308441
clinician_network,2466841655.0,TIDEWATER DOCTORS LLC,2466841655.0,3.0,INTERNAL MEDICINE,,2270 ASHLEY CROSSING DR,SUITE 155,CHARLESTON,SC,294145749,8439905866.0,2270 ASHLEY CROSSING DR,32.2742614,-80.9253747
clinician_network,2769723162.0,EMPOWERME REHABILITATION LLC,2769723162.0,242.0,QUALIFIED SPEECH LANGUAGE PATHOLOGIST,,2333 ASHLEY RIVER RD,,CHARLESTON,SC,294144755,8445027996.0,2333 ASHLEY RIVER RD,34.9611989,-80.7373116
clinician_network,2860726981.0,IMRAD OF VIRGINIA PLLC,2860726981.0,73.0,DIAGNOSTIC RADIOLOGY,,502 SHEM BUTLER CT,,CHARLESTON,SC,294147154,8335456988.0,502 SHEM BUTLER CT,32.85063377736449,-80.06491684261006
clinician_network,2860804796.0,CENTERWELL SENIOR PRIMARY CARE SC PC,2860804796.0,32.0,PHYSICIAN ASSISTANT,,1401 SAM RITTENBERG BLVD,SUITE 6,CHARLESTON,SC,294075031,8439735393.0,1401 SAM RITTENBERG BLVD,32.813067,-79.9963831
clinician_network,3173437472.0,CHARLESTON GASTROENTEROLOGY SPECIALISTS,3173437472.0,78.0,PHYSICIAN ASSISTANT,INTERNAL MEDICINE,1962 CHARLIE HALL BLVD,,CHARLESTON,SC,294145837,8437228000.0,1962 CHARLIE HALL BLVD,32.8158677541285,-80.04248798532439
clinician_network,3173741618.0,"MYEYEDR OPTOMETRY OF SOUTH CAROLINA, LLC",3173741618.0,17.0,OPTOMETRY,,88 FOLLY RD BLVD,,CHARLESTON,SC,294077551,8435739944.0,88 FOLLY RD BLVD,32.7791996,-79.9707079
clinician_network,3375454648.0,AGILITAS USA INC,3375454648.0,659.0,PHYSICAL THERAPY,,3879 W ASHLEY CIR,UNIT 700,CHARLESTON,SC,294149272,8436280121.0,3879 W ASHLEY CIR,32.8262419,-80.0770987
