State,CMS Certification Number (CCN),Provider Name,Address,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,Footnote for quality of patient care star rating,How often the home health team began their patients' care in a timely manner,Footnote for how often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,Footnote for how often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,Footnote for how often patients got better at walking or moving around,How often patients got better at getting in and out of bed,Footnote for how often patients got better at getting in and out of bed,How often patients got better at bathing,Footnote for how often patients got better at bathing,How often patients' breathing improved,Footnote for how often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,Footnote for how often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,Footnote for how often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted","Footnote for how often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,Footnote Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Footnote for how often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Footnote for Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,Footnote for Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,Footnote for DTC Risk-Standardized Rate,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,Footnote for PPR Risk-Standardized Rate,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,Footnote for PPH Risk-Standardized Rate,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","Footnote for how much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
SC,427004,"MUSC HEALTH AT HOME, BY BAYADA- CHARLESTON","1671 BELLE ISLE AVE, STE 115B",MOUNT PLEASANT,29464,8435765378,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,10/01/1975,4,-,99.5,-,55.9,-,90.9,-,90.0,-,91.6,-,87.3,-,87.0,-,15.1,-,14.6,-,0.1,-,96.1,-,0.9,-,96.5,-,"1,436","1,922",74.71,80.18,78.03,82.24,Better Than National Rate,-,36,876,4.11,4.24,3.35,5.48,Same As National Rate,-,94,996,9.44,9.51,8.05,11.14,Same As National Rate,-,0.99,-,"2,614"
SC,427005,AMEDISYS HOME HEALTH OF CHARLESTON,2675 LAKE PARK DRIVE,NORTH CHARLESTON,29406,-,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,01/20/1977,4,-,99.9,-,66.3,-,86.2,-,88.8,-,88.7,-,92.1,-,87.1,-,15.3,-,13.3,-,0.2,-,96.2,-,0.6,-,99.0,-,"1,888","2,616",72.17,80.13,78.43,82.03,Better Than National Rate,-,42,"1,120",3.75,3.54,2.84,4.47,Same As National Rate,-,147,"1,307",11.25,10.11,8.85,11.76,Same As National Rate,-,1.05,-,"4,143"
SC,427009,INTREPID USA HEALTHCARE SERVICES,201 SIGMA DR. SUITE 130A,SUMMERVILLE,29486,8437662929,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,07/27/1979,4,-,99.0,-,84.8,-,87.1,-,92.2,-,90.0,-,91.5,-,91.9,-,14.0,-,12.5,-,0.6,-,98.2,-,1.1,-,98.1,-,"1,001","1,346",74.37,79.24,76.85,81.78,Better Than National Rate,-,13,412,3.16,3.71,2.71,4.98,Same As National Rate,-,79,680,11.62,11.28,9.35,13.75,Same As National Rate,-,1.02,-,"2,460"
SC,427010,TRI COUNTY HOME HEALTH,2 PALMETTO WOOD PKWY SUITE 201,IRMO,29063,8035617680,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,08/03/1979,2.5,-,93.7,-,73.0,-,79.1,-,82.4,-,83.7,-,83.2,-,79.7,-,14.0,-,13.0,-,0.5,-,95.9,-,1.3,-,97.5,-,"2,544","3,192",79.70,83.42,81.77,84.84,Better Than National Rate,-,44,"1,200",3.67,4.05,3.15,5.19,Same As National Rate,-,148,"1,508",9.81,11.10,9.63,12.87,Same As National Rate,-,1.03,-,"4,583"
SC,427013,PRISMA HEALTH HOMECARE,"1400 PICKENS STREET SUITE 310, PO BOX 7275",COLUMBIA,29202,8032963100,VOLUNTARY NON-PROFIT - PRIVATE,Yes,Yes,Yes,Yes,Yes,Yes,07/10/1980,4,-,100.0,-,86.4,-,87.4,-,89.8,-,89.2,-,93.6,-,84.0,-,13.3,-,11.3,-,0.6,-,95.2,-,0.9,-,99.9,-,"1,733","2,017",85.92,88.68,87.11,90.25,Better Than National Rate,-,44,978,4.50,4.49,3.56,5.64,Same As National Rate,-,98,"1,142",8.58,9.41,7.84,11.10,Same As National Rate,-,0.97,-,"2,486"
SC,427015,INTERIM HEALTHCARE OF THE UPSTATE,100 VERDE BLVD STE 300,GREENVILLE,29615,8646271200,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,08/13/1980,3.5,-,96.9,-,74.7,-,86.8,-,87.6,-,89.5,-,84.1,-,86.2,-,14.4,-,11.9,-,0.2,-,97.1,-,1.2,-,99.0,-,"7,708","9,649",79.88,84.52,83.54,85.55,Better Than National Rate,-,108,"3,934",2.75,3.22,2.72,3.80,Better Than National Rate,-,404,"5,061",7.98,8.29,7.58,9.07,Better Than National Rate,-,1.02,-,"15,664"
SC,427017,KINDRED AT HOME,"15 BRENDAN WAY, SUITE 250",GREENVILLE,29615,8642975711,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,08/13/1980,4.5,-,99.5,-,68.0,-,95.7,-,94.3,-,93.3,-,89.7,-,90.3,-,12.2,-,14.3,-,0.0,-,95.4,-,1.0,-,99.2,-,"2,155","2,880",74.83,81.04,79.29,82.65,Better Than National Rate,-,33,"1,153",2.86,3.33,2.65,4.19,Same As National Rate,-,157,"1,558",10.08,9.10,7.90,10.59,Same As National Rate,-,1.03,-,"6,122"
SC,427018,HOME HEALTH SERVICES OF SELF REGIONAL HEALTHCARE,1325 SPRING STREET,GREENWOOD,29646,8647257600,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,11/25/1980,3.5,-,99.5,-,79.4,-,84.4,-,86.8,-,87.9,-,89.4,-,80.1,-,14.2,-,12.1,-,0.4,-,99.3,-,1.1,-,99.8,-,"1,342","1,609",83.41,86.82,84.82,88.67,Better Than National Rate,-,29,774,3.75,4.06,3.07,5.15,Same As National Rate,-,46,932,4.94,6.29,4.91,7.98,Better Than National Rate,-,0.97,-,"2,022"
SC,427020,CHESTERFIELD VISITING NURSES,PO BOX 813,CHERAW,29520,8435373020,PROPRIETARY,Yes,Yes,No,No,No,Yes,01/27/1981,2,-,88.4,-,40.4,-,71.0,-,76.8,-,84.0,-,67.8,-,75.0,-,18.8,-,11.1,-,0.0,-,96.4,-,0.0,-,98.6,-,85,121,70.25,74.68,66.55,81.46,Same As National Rate,-,4,71,5.63,4.12,2.84,5.95,Same As National Rate,-,14,57,24.56,16.51,11.13,23.73,Worse Than National Rate,-,0.99,-,305
SC,427024,SPARTANBURG REGIONAL HOME HEALTH,120 HEYWOOD AVE,SPARTANBURG,29302,8645603900,GOVERNMENT - STATE/COUNTY,Yes,Yes,Yes,Yes,Yes,Yes,12/21/1981,3.5,-,96.5,-,70.3,-,87.1,-,91.5,-,89.8,-,86.2,-,82.6,-,14.2,-,13.3,-,0.0,-,98.1,-,0.7,-,100.0,-,"2,462","2,979",82.65,89.81,88.24,91.14,Better Than National Rate,-,51,"1,516",3.36,3.49,2.82,4.29,Same As National Rate,-,131,"1,669",7.85,7.51,6.39,8.70,Better Than National Rate,-,0.98,-,"3,972"
