"CMS Certification Number (CCN)","Facility Name","Address Line 1","Address Line 2",City/Town,State,"ZIP Code",County/Parish,"Telephone Number","CMS Region","Measure Code","Measure Name",Score,Footnote,"Measure Date Range"
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_001_01_DENOMINATOR,,1422,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_001_01_OBSERVED,"Hospice and Palliative Care Treatment Preferences",100.0,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_002_01_DENOMINATOR,,1422,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_002_01_OBSERVED,"Beliefs & Values Addressed (if desired by the patient)",100.0,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_003_01_DENOMINATOR,,1422,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_003_01_OBSERVED,"Hospice and Palliative Care Pain Screening",100.0,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_004_01_DENOMINATOR,,907,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_004_01_OBSERVED,"Hospice and Palliative Care Pain Assessment",100.0,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_005_01_DENOMINATOR,,1422,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_005_01_OBSERVED,"Hospice and Palliative Care Dyspnea Screening",100.0,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_006_01_DENOMINATOR,,918,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_006_01_OBSERVED,"Hospice and Palliative Care Dyspnea Treatment",100.0,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_007_01_DENOMINATOR,,123,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_007_01_OBSERVED,"Patient Treated with an Opioid Who Are Given a Bowel Regimen",100.0,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_008_01_DENOMINATOR,,1422,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_008_01_OBSERVED,"Hospice and Palliative Care Composite Process Measure",100.0,,07/01/2022-06/30/2023
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_011_01_DENOMINATOR,"Hospice Visits in the Last Days of Life","1,080",,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_011_01_OBSERVED,"Hospice Visits in the Last Days of Life",58.8,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_01_DENOMINATOR,"CHC/GIP provided (% days)","129,897",,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_01_OBSERVED,"CHC/GIP provided (% days)",4.0,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_01_PERCENTILE,"CHC/GIP provided (% days)",97,,01/01/2021-12/31/2022
