"CMS Certification Number (CCN)","Provider Name","Provider Address",City/Town,State,"ZIP Code","Telephone Number","Provider SSA County Code",County/Parish,"Ownership Type","Number of Certified Beds","Average Number of Residents per Day","Average Number of Residents per Day Footnote","Provider Type","Provider Resides in Hospital","Legal Business Name","Date First Approved to Provide Medicare and Medicaid Services","Affiliated Entity Name","Affiliated Entity ID","Continuing Care Retirement Community","Special Focus Status","Abuse Icon","Most Recent Health Inspection More Than 2 Years Ago","Provider Changed Ownership in Last 12 Months","With a Resident and Family Council","Automatic Sprinkler Systems in All Required Areas","Overall Rating","Overall Rating Footnote","Health Inspection Rating","Health Inspection Rating Footnote","QM Rating","QM Rating Footnote","Long-Stay QM Rating","Long-Stay QM Rating Footnote","Short-Stay QM Rating","Short-Stay QM Rating Footnote","Staffing Rating","Staffing Rating Footnote","Reported Staffing Footnote","Physical Therapist Staffing Footnote","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Total nursing staff turnover footnote","Registered Nurse turnover","Registered Nurse turnover footnote","Number of administrators who have left the nursing home","Administrator turnover footnote","Case-Mix Nurse Aide Staffing Hours per Resident per Day","Case-Mix LPN Staffing Hours per Resident per Day","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Adjusted Nurse Aide Staffing Hours per Resident per Day","Adjusted LPN Staffing Hours per Resident per Day","Adjusted RN Staffing Hours per Resident per Day","Adjusted Total Nurse Staffing Hours per Resident per Day","Adjusted Weekend Total Nurse Staffing Hours per Resident per Day","Rating Cycle 1 Standard Survey Health Date","Rating Cycle 1 Total Number of Health Deficiencies","Rating Cycle 1 Number of Standard Health Deficiencies","Rating Cycle 1 Number of Complaint Health Deficiencies","Rating Cycle 1 Health Deficiency Score","Rating Cycle 1 Number of Health Revisits","Rating Cycle 1 Health Revisit Score","Rating Cycle 1 Total Health Score","Rating Cycle 2 Standard Health Survey Date","Rating Cycle 2 Total Number of Health Deficiencies","Rating Cycle 2 Number of Standard Health Deficiencies","Rating Cycle 2 Number of Complaint Health Deficiencies","Rating Cycle 2 Health Deficiency Score","Rating Cycle 2 Number of Health Revisits","Rating Cycle 2 Health Revisit Score","Rating Cycle 2 Total Health Score","Rating Cycle 3 Standard Health Survey Date","Rating Cycle 3 Total Number of Health Deficiencies","Rating Cycle 3 Number of Standard Health Deficiencies","Rating Cycle 3 Number of Complaint Health Deficiencies","Rating Cycle 3 Health Deficiency Score","Rating Cycle 3 Number of Health Revisits","Rating Cycle 3 Health Revisit Score","Rating Cycle 3 Total Health Score","Total Weighted Health Survey Score","Number of Facility Reported Incidents","Number of Substantiated Complaints","Number of Citations from Infection Control Inspections","Number of Fines","Total Amount of Fines in Dollars","Number of Payment Denials","Total Number of Penalties",Location,Latitude,Longitude,"Geocoding Footnote","Processing Date"
425003,"PALMETTO PATRIOTS","120 HAMPSHIRE DRIVE",GAFFNEY,SC,29341,8036492000,100,Cherokee,"Government - State",52,,10,"Medicare and Medicaid",N,"SOUTH CAROLINA DEPT OF MENTAL HEALTH ACCOUNTING OFFICE",2023-06-08,,,N,,N,N,N,Both,Yes,,1,,1,,1,,1,,1,,1,6,6,,,,,,,,,,6,,6,,6,,,,,,,,,,2023-06-08,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,,0,0,0,9,30145.50,0,9,"120 HAMPSHIRE DRIVE,GAFFNEY,SC,29341",35.0965,-81.654,,2024-06-01
425004,"BRUSHY CREEK POST ACUTE","101 COTTAGE CREEK CIRCLE",GREER,SC,29650,8646883800,220,Greenville,"For profit - Limited Liability company",144,133.2,,"Medicare and Medicaid",N,"GREER POST ACUTE, LLC",1967-01-01,"PROVIDENCE GROUP",429,N,,N,N,N,Resident,Yes,4,,3,,5,,5,,4,,4,,,,2.15089,0.94066,0.74473,1.68539,3.83628,3.41926,0.37105,0.12070,52.3,,53.6,,0,,2.00395,0.72630,0.36097,3.09122,2.18663,0.95578,0.77741,3.91175,3.48653,2022-09-14,5,3,4,32,1,0,32,2021-05-21,7,4,3,28,1,0,28,2019-05-16,5,4,1,28,1,0,28,30.000,1,4,1,0,0.00,0,0,"101 COTTAGE CREEK CIRCLE,GREER,SC,29650",34.9224,-82.246,,2024-06-01
425005,"CHERAW HEALTHCARE","400 MOFFAT ROAD",CHERAW,SC,29520,8435375253,120,Chesterfield,"For profit - Corporation",120,43.8,,"Medicare and Medicaid",N,"CHERAW HEALTHCARE INC",1967-02-06,,,N,,N,N,N,Resident,Yes,5,,5,,3,,3,,3,,3,,,,3.60475,1.51265,1.00211,2.51476,6.11951,5.40250,0.62563,0.10804,,6,,6,,6,2.13592,0.82314,0.48811,3.44717,3.43822,1.35614,0.77361,5.59558,4.93995,2022-10-20,0,0,0,0,0,0,0,2021-12-17,1,0,1,20,0,0,20,2020-01-29,1,1,0,4,1,0,4,7.333,2,0,0,2,187862.64,0,2,"400 MOFFAT ROAD,CHERAW,SC,29520",34.6895,-79.912,,2024-06-01
425008,"HEARTLAND OF COLUMBIA REHAB AND NURSING CENTER","2601 FOREST DRIVE",COLUMBIA,SC,29204,8032564983,390,Richland,"For profit - Limited Liability company",132,104.4,,"Medicare and Medicaid",N,"Legal Business Name Not Available",1972-02-28,"HCR MANORCARE",253,N,,Y,N,N,Resident,Yes,1,,1,,3,,2,,3,,3,,,,1.99483,0.82440,0.49544,1.31984,3.31468,3.05177,0.40796,0.07179,64.4,,38.5,,2,,1.99047,0.66713,0.30439,2.96199,2.04172,0.91195,0.61332,3.52735,3.24758,2024-02-15,9,9,9,135,2,68,203,2022-04-20,2,0,2,8,0,0,8,2020-10-29,2,2,0,8,1,0,8,105.500,2,2,0,2,129325.35,1,3,"2601 FOREST DRIVE,COLUMBIA,SC,29204",34.0142,-81.007,,2024-06-01
425009,"FAITH HEALTHCARE CENTER","617 WEST MARION STREET",FLORENCE,SC,29501,8436699958,200,Florence,"Non profit - Corporation",104,98.1,,"Medicare and Medicaid",N,"PALMETTO FAITH OPERATING LLC",1978-02-23,"FUNDAMENTAL HEALTHCARE",231,N,,N,N,N,Resident,Yes,4,,4,,4,,5,,3,,3,,,,2.01621,1.00533,0.37019,1.37553,3.39174,2.98977,0.30150,0.01464,37.5,,25.0,,0,,1.98134,0.68663,0.32345,2.99143,2.07310,1.08050,0.43127,3.57384,3.15029,2023-05-05,2,2,2,20,2,10,30,2021-09-24,1,1,0,8,1,0,8,2019-12-22,1,1,0,4,1,0,4,18.333,1,0,0,1,975.00,0,1,"617 WEST MARION STREET,FLORENCE,SC,29501",34.2016,-79.776,,2024-06-01
425012,"ELLEN SAGAR NURSING CENTER","1817 JONESVILLE HIGHWAY",UNION,SC,29379,8643013500,430,Union,"Government - Hospital district",113,89.2,,"Medicare and Medicaid",N,"ELLEN SAGAR NURSING CENTER",1967-01-01,,,N,,N,N,N,Resident,Yes,3,,2,,5,,5,,4,,2,,,,2.14120,1.05878,0.48661,1.54539,3.68659,3.40482,0.21593,0.05719,73.0,,71.4,,2,,1.95370,0.62767,0.27827,2.85964,2.23277,1.24484,0.65894,4.06354,3.75296,2023-08-04,2,2,0,12,1,0,12,2021-06-04,7,5,2,131,1,0,131,2019-11-10,5,5,0,20,1,0,20,53.000,1,1,0,4,25398.75,0,4,"1817 JONESVILLE HIGHWAY,UNION,SC,29379",34.7671,-81.639,,2024-06-01
425013,"PRUITTHEALTH- COLUMBIA","2451 FOREST DRIVE",COLUMBIA,SC,29204,9643416758,390,Richland,"For profit - Limited Liability company",185,115.1,,"Medicare and Medicaid",N,"PRUITTHEALTH-COLUMBIA LLC",1967-01-01,PRUITTHEALTH,434,N,,Y,Y,N,Resident,Yes,1,,1,,4,,4,,3,,3,,,,1.83331,1.03685,0.54326,1.58011,3.41342,2.91629,0.33990,0.04271,49.5,,57.1,,3,,1.87972,0.62749,0.25828,2.76549,1.98694,1.21942,0.79257,3.89052,3.32391,2022-04-28,10,4,6,265,1,0,265,2020-09-11,5,4,1,28,1,0,28,2019-03-22,2,1,1,79,1,0,79,155.000,13,2,0,2,181234.50,0,2,"2451 FOREST DRIVE,COLUMBIA,SC,29204",34.0133,-81.011,,2024-06-01
425014,"CARLYLE SENIOR CARE OF AIKEN","123 DUPONT DR NORTHEAST",AIKEN,SC,29801,8036480434,010,Aiken,"For profit - Limited Liability company",86,75.5,,"Medicare and Medicaid",N,"CARLYLE SENIOR CARE OF AIKEN, LLC",1980-09-01,"CARLYLE SENIOR CARE",599,N,,N,N,N,Resident,Yes,1,,1,,4,,5,,2,,3,,,,2.05064,0.76658,0.55609,1.32267,3.37331,3.37719,0.55903,0.02663,52.6,,40.0,,2,,1.83814,0.62347,0.28066,2.74226,2.27277,0.90738,0.74661,3.87739,3.88184,2022-10-07,2,1,1,8,1,0,8,2021-11-20,9,7,5,294,1,0,294,2020-03-11,5,5,0,24,1,0,24,106.000,7,0,0,1,124242.12,0,1,"123 DUPONT DR NORTHEAST,AIKEN,SC,29801",33.5769,-81.711,,2024-06-01
425016,"LINLEY PARK POST ACUTE","208 JAMES STREET",ANDERSON,SC,29625,8642263427,030,Anderson,"For profit - Limited Liability company",88,81.8,,"Medicare and Medicaid",N,"ANDERSON COMMUNITY HEALTHCARE, LLC",1967-01-01,"PROVIDENCE GROUP",429,N,,N,N,N,Resident,Yes,3,,3,,3,,4,,3,,2,,,,1.86475,1.35706,0.36109,1.71814,3.58290,3.08113,0.13330,0.07565,68.4,,84.6,,1,,2.00004,0.69821,0.31145,3.00970,1.89944,1.43435,0.43687,3.75234,3.22684,2022-09-09,4,4,2,24,1,0,24,2021-07-15,4,4,0,28,1,0,28,2019-08-01,5,3,2,20,1,0,20,24.667,3,1,0,0,0.00,0,0,"208 JAMES STREET,ANDERSON,SC,29625",34.5251,-82.661,,2024-06-01
425017,"WHITE OAK MANOR - LANCASTER","253 CRAIG MANOR ROAD",LANCASTER,SC,29720,8032861464,280,Lancaster,"For profit - Corporation",132,116.5,,"Medicare and Medicaid",N,"WHITE OAK MANOR INC",1967-01-01,"WHITE OAK MANAGEMENT",564,N,,N,N,N,Resident,Yes,4,,4,,4,,5,,2,,4,,,,2.58048,0.95656,0.54018,1.49674,4.07721,3.54082,0.23499,0.02309,37.8,,21.4,,1,,2.19144,0.66538,0.30616,3.16298,2.39891,1.06092,0.66484,4.06310,3.52857,2023-09-14,2,2,0,20,1,0,20,2021-12-16,0,0,0,0,0,0,0,2020-01-16,4,4,0,28,1,0,28,14.667,0,0,,0,0.00,0,0,"253 CRAIG MANOR ROAD,LANCASTER,SC,29720",34.7488,-80.771,,2024-06-01
